Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_State,Geo_tractcd,Geo_NHGISST,Geo_NHGISCTY,Geo_GISJOIN,Geo_GISJoin2,Geo_DECADE,Geo_state60,Geo_county60,Geo_Supp_trc_pcs_count,Geo_SuppFP_1,Geo_SuppFP_2,Geo_SuppFP_3,Geo_SuppFP_4,Geo_SuppFP_5,Geo_Supp1,Geo_Supp2,Geo_Supp3,Geo_Supp4,Geo_Supp5,SE_T001_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T031_001,SE_T031_002,SE_T031_003,SE_T031_004,SE_T031_005,SE_T031_006,SE_T031_007,SE_T031_008,SE_T031_009,SE_T032_001,SE_T032_002,SE_T032_003,SE_T032_004,SE_T032_005,SE_T032_006,SE_T032_007,SE_T032_008,SE_T032_009,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,SE_T033_008,SE_T033_009,SE_T089_001,SE_T089_002,SE_T089_003,SE_T089_004,SE_T089_005,SE_T089_006,SE_T089_007,SE_T089_008,SE_T089_009,SE_T089_010,SE_T089_011,SE_T089_012,SE_T089_013,SE_T089_014,SE_T105_001,SE_T111_001,SE_T111_002,SE_T111_003,SE_T116_001,SE_T116_002,SE_T116_003,SE_T116_004,SE_T116_005,SE_T116_006,SE_T116_007,SE_T116_008,SE_T116_009,SE_T116_010,SE_T116_011
"Census Tract B0050A00","Census Tract B0050A00, Bucks County, Pennsylvania","140","420170B0050A00","42","00B005000A","420","0170","G4200170B0050A","4200170B0050A","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,3022,3022,3017,5,0,778,774,276,519,460,379,57,1179,1140,778,774,276,519,460,379,57,1179,1140,0,0,0,0,0,0,0,0,0,851,33,41,52,33,88,74,74,133,69,41,181,29,3,892,833,738,95,851,833,734,734,0,99,97,2,18,5,13
"Census Tract B0050B00","Census Tract B0050B00, Bucks County, Pennsylvania","140","420170B0050B00","42","00B005000B","420","0170","G4200170B0050B","4200170B0050B","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,2984,2984,2974,10,0,769,761,288,490,462,383,82,1181,1141,765,757,288,490,462,383,82,1181,1141,4,4,0,0,0,0,0,0,0,861,58,50,33,49,55,60,101,96,76,96,128,51,8,884,829,695,134,847,829,695,694,1,134,132,2,18,6,12
"Census Tract B0051000","Census Tract B0051000, Bucks County, Pennsylvania","140","420170B0051000","42","00B0051000","420","0170","G4200170B0051","4200170B0051","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,1734,1734,1713,21,0,456,452,148,252,237,200,53,683,675,453,449,145,249,234,197,53,651,643,3,3,3,3,3,3,0,32,32,525,29,30,23,28,43,106,54,35,37,20,66,38,16,551,505,401,104,521,505,401,399,2,104,103,1,16,6,10
"Census Tract B0052000","Census Tract B0052000, Bucks County, Pennsylvania","140","420170B0052000","42","00B0052000","420","0170","G4200170B0052","4200170B0052","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,1468,1468,1383,77,8,371,371,119,236,162,147,57,553,502,351,351,113,230,162,147,45,533,489,20,20,6,6,0,0,12,20,13,428,33,27,33,28,35,55,39,21,24,19,79,32,3,447,419,328,91,428,419,309,292,17,110,105,5,9,3,6
"Census Tract B0053000","Census Tract B0053000, Bucks County, Pennsylvania","140","420170B0053000","42","00B0053000","420","0170","G4200170B0053","4200170B0053","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,2323,2323,2248,75,0,555,540,152,322,279,237,235,752,685,545,530,147,312,269,227,225,729,666,10,10,5,10,10,10,10,23,19,821,74,69,62,93,54,94,64,60,64,30,99,45,13,784,756,445,311,767,756,445,441,4,311,292,19,11,10,1
"Census Tract B0054000","Census Tract B0054000, Bucks County, Pennsylvania","140","420170B0054000","42","00B0054000","420","0170","G4200170B0054","4200170B0054","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,1991,1991,1973,13,5,505,501,169,288,258,231,69,731,664,501,497,165,284,254,227,69,715,648,4,4,4,4,4,4,0,16,16,594,30,24,24,32,64,83,52,44,45,20,82,68,26,654,590,463,127,605,590,463,463,0,127,123,4,15,6,9
"Census Tract B0055A00","Census Tract B0055A00, Bucks County, Pennsylvania","140","420170B0055A00","42","00B005500A","420","0170","G4200170B0055A","4200170B0055A","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,1894,1894,1869,22,3,507,503,154,319,281,240,48,681,663,507,503,154,319,281,240,44,681,663,0,0,0,0,0,0,4,0,0,560,7,4,34,36,16,59,54,46,26,39,161,70,8,582,541,446,95,553,541,445,441,4,96,90,6,12,1,11
"Census Tract B0055B00","Census Tract B0055B00, Bucks County, Pennsylvania","140","420170B0055B00","42","00B005500B","420","0170","G4200170B0055B","4200170B0055B","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,6710,6710,6690,18,2,1760,1739,569,1148,861,788,89,2576,2482,1760,1739,569,1148,861,788,81,2576,2482,0,0,0,0,0,0,8,0,0,1911,42,55,54,53,69,138,148,115,141,123,425,390,158,1972,1872,1782,90,1918,1872,1768,1764,4,104,101,3,46,5,41
"Census Tract B0056000","Census Tract B0056000, Bucks County, Pennsylvania","140","420170B0056000","42","00B0056000","420","0170","G4200170B0056","4200170B0056","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,2271,2271,2007,244,20,587,568,194,344,309,257,157,908,795,541,522,182,310,285,233,147,778,693,46,46,12,34,24,24,10,130,102,707,59,35,35,53,53,108,77,56,53,41,110,27,0,706,684,490,194,692,684,490,441,49,194,175,19,8,6,2
"Census Tract B0057000","Census Tract B0057000, Bucks County, Pennsylvania","140","420170B0057000","42","00B0057000","420","0170","G4200170B0057","4200170B0057","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,7790,7790,7708,82,0,1959,1895,552,1108,961,801,435,2470,2289,1937,1873,549,1105,958,798,428,2460,2279,22,22,3,3,3,3,7,10,10,2523,139,85,137,191,305,394,336,206,174,132,333,75,16,2761,2375,1881,494,2429,2375,1881,1865,16,494,488,6,54,34,20
"Census Tract B0058A00","Census Tract B0058A00, Bucks County, Pennsylvania","140","420170B0058A00","42","00B005800A","420","0170","G4200170B0058A","4200170B0058A","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,2401,2401,2393,3,5,569,548,247,401,408,340,38,1015,973,561,540,243,397,404,340,38,1007,965,8,8,4,4,4,0,0,8,8,625,26,4,18,29,47,71,76,72,54,68,131,25,4,639,615,569,46,626,615,574,574,0,41,37,4,11,2,9
"Census Tract B0058B00","Census Tract B0058B00, Bucks County, Pennsylvania","140","420170B0058B00","42","00B005800B","420","0170","G4200170B0058B","4200170B0058B","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,11254,11254,11234,2,18,2626,2586,1189,2050,1806,1621,172,5036,4745,2622,2582,1185,2046,1802,1617,172,5017,4734,4,4,4,4,4,4,0,19,11,2868,70,51,67,123,246,384,529,366,248,200,448,121,15,3089,2777,2667,110,3072,2777,2667,2664,3,110,110,0,295,3,292
"Census Tract B0058C00","Census Tract B0058C00, Bucks County, Pennsylvania","140","420170B0058C00","42","00B005800C","420","0170","G4200170B0058C","4200170B0058C","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,11711,11711,11702,0,9,2629,2609,1538,2263,2212,2032,112,5784,5545,2629,2609,1538,2263,2212,2032,112,5784,5545,0,0,0,0,0,0,0,0,0,2854,60,56,48,77,248,533,520,436,259,224,328,65,0,2853,2802,2576,226,2815,2802,2576,2574,2,226,226,0,13,7,6
"Census Tract B0058D00","Census Tract B0058D00, Bucks County, Pennsylvania","140","420170B0058D00","42","00B005800D","420","0170","G4200170B0058D","4200170B0058D","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,3716,3716,3552,153,11,900,883,383,596,625,524,169,1537,1411,883,866,370,579,617,516,148,1464,1364,17,17,13,17,8,8,21,73,47,1087,72,62,20,81,86,163,158,132,72,57,133,47,4,1163,1046,853,193,1060,1046,853,847,6,193,160,33,14,11,3
"Census Tract B0059A00","Census Tract B0059A00, Bucks County, Pennsylvania","140","420170B0059A00","42","00B005900A","420","0170","G4200170B0059A","4200170B0059A","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,1815,1815,1810,0,5,430,426,202,345,312,266,56,791,774,430,426,202,345,312,266,56,791,774,0,0,0,0,0,0,0,0,0,499,35,8,12,13,28,78,55,80,50,64,43,33,0,472,464,416,48,468,464,422,422,0,42,41,1,4,0,4
"Census Tract B0059B00","Census Tract B0059B00, Bucks County, Pennsylvania","140","420170B0059B00","42","00B005900B","420","0170","G4200170B0059B","4200170B0059B","1960","23","009",1,0,0,0,0,1,0,0,0,0,1,637,637,637,0,0,138,129,32,80,74,65,50,224,191,138,129,32,80,74,65,50,224,191,0,0,0,0,0,0,0,0,0,191,15,3,16,14,18,45,15,31,0,5,24,5,0,184,177,110,67,178,177,110,110,0,67,67,0,1,1,0
"Census Tract D0001000","Census Tract D0001000, Delaware County, Pennsylvania","140","420450D0001000","42","00D0001000","420","0450","G4200450D0001","4200450D0001","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,793,793,793,0,0,183,179,25,49,56,33,164,91,87,183,179,25,49,56,33,164,91,87,0,0,0,0,0,0,0,0,0,409,41,32,21,52,54,60,39,41,9,8,48,4,0,392,371,136,235,379,371,136,136,0,235,235,0,8,7,1
"Census Tract D0002000","Census Tract D0002000, Delaware County, Pennsylvania","140","420450D0002000","42","00D0002000","420","0450","G4200450D0002","4200450D0002","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,3463,3463,3461,0,2,823,768,103,308,230,173,316,780,697,819,764,103,308,230,173,316,780,697,4,4,0,0,0,0,0,0,0,1265,91,85,93,99,183,87,116,114,103,79,155,52,8,1161,1142,865,277,1157,1142,865,865,0,277,277,0,15,13,2
"Census Tract D0003000","Census Tract D0003000, Delaware County, Pennsylvania","140","420450D0003000","42","00D0003000","420","0450","G4200450D0003","4200450D0003","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,13073,13073,12961,102,10,3278,3205,1066,1938,1688,1417,518,4471,4035,3258,3191,1060,1926,1676,1405,518,4419,3992,20,14,6,12,12,12,0,52,43,4127,187,152,215,350,567,679,533,455,355,222,370,42,0,4106,4017,3241,776,4073,4017,3241,3224,17,776,770,6,56,40,16
"Census Tract D0004000","Census Tract D0004000, Delaware County, Pennsylvania","140","420450D0004000","42","00D0004000","420","0450","G4200450D0004","4200450D0004","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,9614,9614,9598,10,6,2353,2260,393,924,765,552,1009,2097,1848,2345,2252,393,924,765,552,1001,2089,1848,8,8,0,0,0,0,8,8,0,3735,271,162,294,335,421,418,386,320,303,219,521,73,12,3622,3544,2374,1170,3586,3544,2374,2373,1,1170,1164,6,42,31,11
"Census Tract D0005000","Census Tract D0005000, Delaware County, Pennsylvania","140","420450D0005000","42","00D0005000","420","0450","G4200450D0005","4200450D0005","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,4713,4713,4712,1,0,1124,1083,273,596,444,370,217,1507,1329,1124,1083,273,596,444,370,217,1507,1329,0,0,0,0,0,0,0,0,0,1469,90,62,89,127,150,209,143,120,145,73,200,57,4,1418,1391,1188,203,1409,1391,1188,1188,0,203,203,0,18,7,11
"Census Tract D0006000","Census Tract D0006000, Delaware County, Pennsylvania","140","420450D0006000","42","00D0006000","420","0450","G4200450D0006","4200450D0006","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,5858,5858,5850,0,8,1398,1332,324,714,584,458,238,1771,1666,1394,1328,324,714,584,458,238,1771,1666,4,4,0,0,0,0,0,0,0,1811,66,50,73,92,242,184,187,239,140,121,333,72,12,1830,1787,1457,330,1818,1787,1457,1455,2,330,330,0,31,23,8
"Census Tract D0007000","Census Tract D0007000, Delaware County, Pennsylvania","140","420450D0007000","42","00D0007000","420","0450","G4200450D0007","4200450D0007","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,5376,5376,5369,3,4,1287,1217,183,482,352,273,411,1200,1066,1287,1217,183,482,352,273,411,1200,1066,0,0,0,0,0,0,0,0,0,1927,159,101,82,121,155,182,171,157,157,120,392,106,24,1778,1742,1339,403,1761,1742,1339,1339,0,403,403,0,19,11,8
"Census Tract D0008000","Census Tract D0008000, Delaware County, Pennsylvania","140","420450D0008000","42","00D0008000","420","0450","G4200450D0008","4200450D0008","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,4390,4390,4376,7,7,1052,1028,262,563,414,331,248,1364,1295,1049,1025,259,560,411,328,248,1360,1291,3,3,3,3,3,3,0,4,4,1419,71,55,58,87,159,168,94,133,112,88,214,134,46,1415,1373,1074,299,1401,1373,1074,1073,1,299,297,2,28,19,9
"Census Tract D0009000","Census Tract D0009000, Delaware County, Pennsylvania","140","420450D0009000","42","00D0009000","420","0450","G4200450D0009","4200450D0009","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,1923,1923,1916,5,2,444,426,76,189,125,109,146,600,567,444,426,76,189,125,109,142,600,567,0,0,0,0,0,0,4,0,0,626,71,27,9,12,20,27,14,27,41,23,157,85,113,551,551,524,27,556,551,522,522,0,29,29,0,5,2,3
"Census Tract D0010000","Census Tract D0010000, Delaware County, Pennsylvania","140","420450D0010000","42","00D0010000","420","0450","G4200450D0010","4200450D0010","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,3000,3000,2994,6,0,688,654,149,344,248,213,203,1000,885,688,654,149,344,248,213,199,1000,885,0,0,0,0,0,0,4,0,0,962,33,106,45,43,60,88,66,72,59,75,169,134,12,935,924,681,243,931,924,681,681,0,243,243,0,7,2,5
"Census Tract D0011000","Census Tract D0011000, Delaware County, Pennsylvania","140","420450D0011000","42","00D0011000","420","0450","G4200450D0011","4200450D0011","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,13701,13701,13690,3,8,3281,3200,1178,2173,1889,1621,359,5248,5033,3277,3196,1178,2169,1885,1617,359,5235,5024,4,4,0,4,4,4,0,13,9,3850,107,82,100,147,228,420,468,379,362,331,741,387,98,3803,3738,3242,496,3773,3738,3242,3240,2,496,496,0,35,18,17
"Census Tract D0012000","Census Tract D0012000, Delaware County, Pennsylvania","140","420450D0012000","42","00D0012000","420","0450","G4200450D0012","4200450D0012","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,4431,4431,4425,6,0,1122,1083,319,641,488,390,165,1385,1285,1122,1083,319,641,488,390,165,1385,1285,0,0,0,0,0,0,0,0,0,1399,56,50,55,61,67,150,102,156,140,88,281,157,36,1407,1378,1103,275,1392,1378,1103,1102,1,275,274,1,14,9,5
"Census Tract D0013000","Census Tract D0013000, Delaware County, Pennsylvania","140","420450D0013000","42","00D0013000","420","0450","G4200450D0013","4200450D0013","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,6320,6320,6318,2,0,1660,1630,640,902,924,714,451,1814,1716,1660,1630,640,902,924,714,451,1814,1716,0,0,0,0,0,0,0,0,0,2267,82,128,106,81,181,237,333,250,171,160,403,101,34,2300,2227,847,1380,2277,2227,847,847,0,1380,1379,1,50,42,8
"Census Tract D0014000","Census Tract D0014000, Delaware County, Pennsylvania","140","420450D0014000","42","00D0014000","420","0450","G4200450D0014","4200450D0014","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,7056,7056,7052,1,3,1719,1691,637,1059,966,784,177,2512,2310,1719,1691,637,1059,966,784,177,2512,2310,0,0,0,0,0,0,0,0,0,2051,56,51,76,90,154,300,345,311,215,167,236,42,8,2072,2011,1679,332,2062,2011,1679,1678,1,332,330,2,51,15,36
"Census Tract D0015000","Census Tract D0015000, Delaware County, Pennsylvania","140","420450D0015000","42","00D0015000","420","0450","G4200450D0015","4200450D0015","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,8629,8629,8604,11,14,2020,2006,968,1598,1401,1262,104,3880,3746,2020,2006,968,1598,1401,1262,98,3868,3734,0,0,0,0,0,0,6,12,12,2186,43,29,23,43,149,340,423,408,210,166,305,43,4,2171,2146,2020,126,2154,2146,2020,2017,3,126,126,0,8,3,5
"Census Tract D0016000","Census Tract D0016000, Delaware County, Pennsylvania","140","420450D0016000","42","00D0016000","420","0450","G4200450D0016","4200450D0016","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,1611,1611,1600,6,5,410,393,141,235,234,184,32,561,538,410,393,141,235,234,184,29,561,538,0,0,0,0,0,0,3,0,0,465,10,13,15,24,39,39,55,23,90,50,58,33,16,464,453,432,21,462,453,437,435,2,16,16,0,9,3,6
"Census Tract D0017000","Census Tract D0017000, Delaware County, Pennsylvania","140","420450D0017000","42","00D0017000","420","0450","G4200450D0017","4200450D0017","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,3224,3224,3214,1,9,757,733,205,374,346,273,186,975,874,757,733,205,374,346,273,182,975,874,0,0,0,0,0,0,4,0,0,1040,88,62,47,73,131,133,117,62,88,85,136,14,4,1018,986,680,306,1010,986,680,680,0,306,303,3,24,20,4
"Census Tract D0018000","Census Tract D0018000, Delaware County, Pennsylvania","140","420450D0018000","42","00D0018000","420","0450","G4200450D0018","4200450D0018","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,4404,4404,4395,6,3,1016,1000,237,530,399,320,356,1289,1193,1013,997,237,527,399,320,356,1285,1189,3,3,0,3,0,0,0,4,4,1536,115,58,125,75,142,162,167,147,93,108,240,88,16,1474,1438,1038,400,1460,1438,1038,1037,1,400,398,2,22,18,4
"Census Tract D0019000","Census Tract D0019000, Delaware County, Pennsylvania","140","420450D0019000","42","00D0019000","420","0450","G4200450D0019","4200450D0019","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,5337,5337,5306,18,13,1319,1297,350,670,510,435,358,1579,1489,1315,1293,346,666,506,431,355,1575,1485,4,4,4,4,4,4,3,4,4,1832,54,66,87,95,174,227,178,147,159,110,380,128,27,1784,1748,1336,412,1768,1748,1336,1328,8,412,412,0,20,15,5
"Census Tract D0020000","Census Tract D0020000, Delaware County, Pennsylvania","140","420450D0020000","42","00D0020000","420","0450","G4200450D0020","4200450D0020","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,2860,2860,2575,277,8,761,711,176,296,295,190,380,743,626,705,664,157,269,266,174,353,653,563,56,47,19,27,29,16,27,90,63,1156,63,77,45,97,168,132,113,107,51,94,126,75,8,1107,1067,474,593,1085,1067,474,422,52,593,572,21,18,15,3
"Census Tract D0021000","Census Tract D0021000, Delaware County, Pennsylvania","140","420450D0021000","42","00D0021000","420","0450","G4200450D0021","4200450D0021","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,7438,7438,7435,1,2,1829,1769,404,899,658,506,250,2112,2012,1829,1769,404,899,658,506,242,2112,2012,0,0,0,0,0,0,8,0,0,2311,99,50,104,99,216,214,238,248,228,186,395,201,33,2256,2217,1918,299,2228,2217,1918,1918,0,299,299,0,11,5,6
"Census Tract D0022000","Census Tract D0022000, Delaware County, Pennsylvania","140","420450D0022000","42","00D0022000","420","0450","G4200450D0022","4200450D0022","1960","23","023",1,0,0,0,0,0,0,0,0,0,0,2475,2475,1042,1426,7,785,750,226,469,360,306,276,1238,1046,474,455,143,284,218,189,230,744,643,311,295,83,185,142,117,46,494,403,787,192,44,22,48,61,64,65,56,37,69,78,43,8,646,636,578,58,642,636,578,200,378,58,48,10,6,2,4
"Census Tract D0023000","Census Tract D0023000, Delaware County, Pennsylvania","140","420450D0023000","42","00D0023000","420","0450","G4200450D0023","4200450D0023","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,1697,1697,1696,1,0,440,421,73,204,144,111,54,453,427,440,421,73,204,144,111,54,453,427,0,0,0,0,0,0,0,0,0,529,16,20,40,19,31,47,62,43,49,26,139,33,4,511,511,457,54,512,511,457,457,0,54,54,0,1,0,1
"Census Tract D0024000","Census Tract D0024000, Delaware County, Pennsylvania","140","420450D0024000","42","00D0024000","420","0450","G4200450D0024","4200450D0024","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,4210,4210,4195,2,13,1005,957,280,516,473,396,220,1458,1270,997,949,280,516,473,396,216,1436,1248,8,8,0,0,0,0,4,22,22,1329,95,90,75,102,143,262,141,127,89,64,124,17,0,1345,1278,904,374,1319,1278,904,903,1,374,371,3,41,28,13
"Census Tract D0025000","Census Tract D0025000, Delaware County, Pennsylvania","140","420450D0025000","42","00D0025000","420","0450","G4200450D0025","4200450D0025","1960","23","023",1,0,0,0,0,0,0,0,0,0,0,4889,4889,2958,1928,3,1531,1478,469,785,651,552,452,2228,1927,1097,1064,352,587,490,421,300,1638,1436,434,414,117,198,161,131,152,590,491,1561,150,112,117,180,189,253,151,147,66,78,106,12,0,1541,1466,1017,449,1501,1466,1017,635,382,449,264,185,35,25,10
"Census Tract D0026000","Census Tract D0026000, Delaware County, Pennsylvania","140","420450D0026000","42","00D0026000","420","0450","G4200450D0026","4200450D0026","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,4960,4960,4956,0,4,1017,997,429,750,663,617,225,1986,1817,1017,997,429,750,663,617,225,1986,1817,0,0,0,0,0,0,0,0,0,1310,123,73,51,97,112,217,186,165,107,69,98,12,0,1184,1163,1066,97,1172,1163,1066,1066,0,97,97,0,9,8,1
"Census Tract D0027000","Census Tract D0027000, Delaware County, Pennsylvania","140","420450D0027000","42","00D0027000","420","0450","G4200450D0027","4200450D0027","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,3074,3074,3057,17,0,720,690,311,465,443,379,93,1097,990,720,690,311,465,443,379,93,1097,990,0,0,0,0,0,0,0,0,0,894,42,41,20,56,84,121,153,114,100,51,84,24,4,903,878,717,161,887,878,717,716,1,161,157,4,9,4,5
"Census Tract D0028000","Census Tract D0028000, Delaware County, Pennsylvania","140","420450D0028000","42","00D0028000","420","0450","G4200450D0028","4200450D0028","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,7123,7123,7075,37,11,1647,1617,614,1020,910,767,279,2651,2460,1647,1617,614,1020,910,767,267,2647,2460,0,0,0,0,0,0,12,4,0,2081,141,64,77,99,174,326,293,218,182,132,275,92,8,2007,1957,1618,339,1991,1957,1618,1610,8,339,332,7,34,26,8
"Census Tract D0029000","Census Tract D0029000, Delaware County, Pennsylvania","140","420450D0029000","42","00D0029000","420","0450","G4200450D0029","4200450D0029","1960","23","023",1,0,0,0,0,0,0,0,0,0,0,3519,3519,95,3411,13,1362,1306,572,820,856,676,374,3056,2218,689,661,288,416,434,344,191,1547,1128,673,645,284,404,422,332,183,1509,1090,947,101,73,114,144,152,116,80,83,23,40,21,0,0,940,899,644,255,919,899,644,23,621,255,3,252,20,14,6
"Census Tract D0030000","Census Tract D0030000, Delaware County, Pennsylvania","140","420450D0030000","42","00D0030000","420","0450","G4200450D0030","4200450D0030","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,9079,9079,8799,280,0,2175,2157,1358,1820,1796,1641,74,4431,4253,2123,2108,1351,1794,1782,1627,57,4336,4190,52,49,7,26,14,14,17,95,63,2217,44,4,54,83,189,513,463,343,207,133,156,24,4,2257,2212,2106,106,2227,2212,2106,2053,53,106,92,14,15,6,9
"Census Tract D0031A00","Census Tract D0031A00, Delaware County, Pennsylvania","140","420450D0031A00","42","00D003100A","420","0450","G4200450D0031A","4200450D0031A","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,4119,4119,4118,1,0,948,911,308,583,454,386,196,1492,1359,948,911,308,583,454,386,196,1487,1354,0,0,0,0,0,0,0,5,5,1232,85,51,51,66,115,211,174,150,75,71,131,52,0,1225,1175,916,259,1198,1175,916,916,0,259,259,0,23,16,7
"Census Tract D0031B00","Census Tract D0031B00, Delaware County, Pennsylvania","140","420450D0031B00","42","00D003100B","420","0450","G4200450D0031B","4200450D0031B","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,6149,6149,6143,6,0,1461,1437,570,985,852,725,207,2274,2057,1461,1437,570,985,852,725,207,2274,2057,0,0,0,0,0,0,0,0,0,1845,99,108,72,130,191,296,223,227,195,90,195,19,0,1833,1787,1376,411,1822,1787,1376,1376,0,411,410,1,35,28,7
"Census Tract D0032000","Census Tract D0032000, Delaware County, Pennsylvania","140","420450D0032000","42","00D0032000","420","0450","G4200450D0032","4200450D0032","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,4324,4324,4319,2,3,1110,1079,301,602,496,419,164,1355,1272,1110,1079,301,602,496,419,164,1355,1272,0,0,0,0,0,0,0,0,0,1361,64,43,51,43,75,152,195,169,117,67,316,61,8,1331,1315,1146,169,1320,1315,1146,1146,0,169,169,0,5,3,2
"Census Tract D0033000","Census Tract D0033000, Delaware County, Pennsylvania","140","420450D0033000","42","00D0033000","420","0450","G4200450D0033","4200450D0033","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,8005,8005,8003,1,1,1847,1757,668,1183,1044,866,220,2917,2577,1847,1757,668,1183,1044,866,220,2917,2577,0,0,0,0,0,0,0,0,0,2255,101,78,77,177,221,338,327,262,180,139,262,83,10,2231,2189,1770,419,2217,2189,1770,1770,0,419,418,1,28,22,6
"Census Tract D0034A00","Census Tract D0034A00, Delaware County, Pennsylvania","140","420450D0034A00","42","00D003400A","420","0450","G4200450D0034A","4200450D0034A","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,2987,2987,2979,7,1,718,693,264,470,413,325,86,1148,1100,718,693,264,470,413,325,86,1148,1100,0,0,0,0,0,0,0,0,0,851,39,8,22,38,50,140,190,95,77,70,93,25,4,850,826,700,126,842,826,700,699,1,126,126,0,16,13,3
"Census Tract D0034B00","Census Tract D0034B00, Delaware County, Pennsylvania","140","420450D0034B00","42","00D003400B","420","0450","G4200450D0034B","4200450D0034B","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,4026,4026,4025,0,1,976,976,714,834,874,784,14,1888,1861,976,976,714,834,874,784,14,1888,1861,0,0,0,0,0,0,0,0,0,1015,8,4,30,43,151,268,165,159,76,51,56,4,0,1072,1008,968,40,1054,1008,967,967,0,41,41,0,46,3,43
"Census Tract D0035000","Census Tract D0035000, Delaware County, Pennsylvania","140","420450D0035000","42","00D0035000","420","0450","G4200450D0035","4200450D0035","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,7249,7249,7234,8,7,1796,1747,559,1050,888,752,239,2577,2334,1796,1747,559,1050,888,752,239,2570,2334,0,0,0,0,0,0,0,7,0,2164,114,92,133,150,148,317,280,241,199,147,251,66,26,2152,2101,1792,309,2132,2101,1792,1791,1,309,308,1,31,25,6
"Census Tract D0036000","Census Tract D0036000, Delaware County, Pennsylvania","140","420450D0036000","42","00D0036000","420","0450","G4200450D0036","4200450D0036","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,6729,6729,6708,18,3,1626,1599,607,1001,967,798,253,2543,2367,1618,1591,607,1001,963,798,253,2528,2367,8,8,0,0,4,0,0,15,0,1994,87,61,111,112,196,282,349,260,184,111,204,29,8,2017,1922,1381,541,1999,1922,1381,1377,4,541,538,3,77,58,19
"Census Tract D0037000","Census Tract D0037000, Delaware County, Pennsylvania","140","420450D0037000","42","00D0037000","420","0450","G4200450D0037","4200450D0037","1960","23","023",1,0,0,0,0,1,0,0,0,0,1,4375,4375,4373,2,0,1050,1006,312,647,528,449,284,1466,1359,1050,1006,312,647,528,449,284,1466,1359,0,0,0,0,0,0,0,0,0,1392,100,76,55,64,116,214,214,134,103,95,210,8,3,1357,1310,1030,280,1329,1310,1030,1030,0,280,279,1,19,12,7
